player_name,country,minutes,goals,assists,shots,key_passes,progressive_passes,progressive_carries,successful_dribbles,tackles,interceptions,aerial_duels_won,pass_completion_pct,turnovers,club_level_score,recent_form_score,expected_minutes_score,non_penalty_goals,shots_in_box,touches_in_box,through_balls,crosses_into_box,shot_creating_actions_proxy,passes_into_final_third,carries_into_final_third,recoveries,pressures,long_passes,saves,clean_sheets,aerial_threat,xg_proxy,xa_proxy,yellow_cards,red_cards,recent_appearances,height_in_cm,market_value_score,tactical_fit_score,final_squad_selection_score,injury_availability_score,injury_severity_score,injury_status,recent_injury_count,is_injured,injury_source_url,caps,international_goals,data_source,data_refresh_date
Nico Elvedi,Switzerland,3237,2,3,17,14,105,31,11,40,34,20,83.2,11,81.8,76.1,85.4,2,9,21,4,2,20,68,17,77,63,41,0,6,21,2.01,2.45,5.0,0.0,36,189.0,64.8,76.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,66,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Manuel Akanji,Switzerland,3774,2,0,18,6,141,42,15,47,41,23,85.1,11,86.0,77.5,89.8,2,9,21,1,0,6,92,23,92,73,51,0,8,24,2.01,0.15,6.0,0.0,46,188.0,80.5,82.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,80,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Denis Zakaria,Switzerland,2541,2,1,21,10,98,35,13,30,26,16,85.3,9,84.3,72.8,78.7,2,12,28,2,1,12,64,19,58,55,35,0,0,17,2.16,0.95,7.0,0.0,30,190.0,83.0,80.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,64,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Breel Embolo,Switzerland,1873,8,3,50,21,78,37,14,12,11,6,79.4,12,80.1,75.3,80.9,8,35,84,5,2,27,51,20,22,36,7,0,0,10,7.99,2.62,2.0,0.0,31,187.0,71.1,79.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,86,24,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Remo Freuler,Switzerland,3108,1,2,26,18,105,40,15,31,27,12,81.3,17,76.2,70.3,91.3,1,16,37,4,1,22,68,22,58,60,8,0,0,14,1.58,1.85,6.0,0.0,40,180.0,52.4,79.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,87,11,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Johan Manzambi,Switzerland,3621,7,9,50,41,114,58,21,24,20,15,85.7,14,89.4,91.4,55.4,7,30,70,11,6,59,74,32,48,70,16,0,0,19,6.96,7.32,6.0,0.0,47,182.0,86.5,66.8,100,100.0,0.0,Available,,False,,11,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Granit Xhaka,Switzerland,3028,1,6,20,27,113,38,14,38,33,17,83.5,13,85.7,78.6,95.0,1,11,26,7,4,39,73,21,73,66,39,0,0,18,1.33,4.87,9.0,0.0,36,186.0,68.5,87.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,145,17,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Dan Ndoye,Switzerland,2014,2,2,30,18,81,42,16,11,9,6,82.0,10,93.6,72.2,64.7,2,21,49,4,16,22,53,23,20,39,9,0,0,9,2.61,1.85,2.0,0.0,37,184.0,91.1,74.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,30,7,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Yvon Mvogo,Switzerland,2790,0,0,3,2,50,17,6,22,19,16,76.9,11,71.7,48.8,53.0,0,1,2,0,0,2,32,9,45,39,33,74,6,16,0.05,0.05,0.0,0.0,31,190.0,47.0,59.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,13,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ricardo Rodriguez,Switzerland,2446,0,1,13,10,80,26,10,29,25,12,77.1,12,78.5,59.1,88.6,0,7,16,2,18,12,52,14,55,49,6,0,5,13,0.35,0.95,3.0,0.0,35,182.0,49.7,79.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,137,9,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ardon Jashari,Switzerland,880,0,1,5,6,26,13,5,8,6,4,85.9,3,88.6,58.5,35.9,0,3,7,1,1,8,17,7,15,19,12,0,0,4,0.15,0.85,0.0,0.0,17,181.0,87.8,58.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,7,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Djibril Sow,Switzerland,2289,5,4,34,21,79,32,12,21,18,10,83.1,11,84.4,75.2,70.6,5,20,48,5,3,29,51,18,40,45,8,0,0,12,4.9,3.32,6.0,0.0,35,184.0,66.7,71.2,100,35.1,64.9,Active: Abdominal muscle strain; minor knock,0.0,True,https://github.com/salimt/football-datasets,51,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Christian Fassnacht,Switzerland,413,1,0,8,2,10,6,2,2,2,1,75.6,3,52.0,49.2,49.2,1,5,13,0,0,2,6,3,4,8,1,0,0,2,1.03,0.05,1.0,0.0,8,183.0,41.0,58.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,22,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Rubén Vargas,Switzerland,1620,3,6,29,28,62,30,11,11,9,4,78.9,10,84.4,70.8,70.8,3,20,47,7,16,40,40,16,19,31,5,0,0,6,3.34,4.9,2.0,0.0,25,179.0,66.7,73.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,61,11,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Eray Cömert,Switzerland,1729,2,1,12,6,34,12,5,18,15,9,80.1,8,75.4,59.2,52.3,2,6,15,1,1,8,22,7,35,34,20,0,3,10,1.86,0.85,4.0,0.0,21,183.0,41.0,54.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,21,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Noah Okafor,Switzerland,1976,8,3,50,21,70,39,14,10,8,6,80.2,11,88.6,76.9,58.1,8,34,81,5,16,27,46,21,18,38,8,0,0,10,7.94,2.62,3.0,0.0,34,185.0,76.6,68.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,24,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Michel Aebischer,Switzerland,2983,1,2,25,17,89,39,14,26,22,12,81.6,16,77.0,69.8,73.5,1,15,35,4,1,21,58,21,49,58,8,0,0,14,1.53,1.82,8.0,0.0,36,183.0,54.6,70.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,39,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Marvin Keller,Switzerland,900,0,0,1,1,16,7,2,6,5,5,79.4,3,61.0,42.1,29.7,0,0,0,0,0,1,10,4,12,13,12,24,2,5,0.0,0.02,0.0,0.0,10,189.0,66.7,50.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Fabian Rieder,Switzerland,2530,6,4,47,26,82,43,16,14,12,6,78.7,15,81.8,77.3,63.7,6,31,73,6,3,34,53,24,26,47,8,0,0,10,6.23,3.45,4.0,0.0,36,179.0,64.8,71.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,27,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Zeki Amdouni,Switzerland,69,0,0,1,1,3,2,1,0,0,0,78.0,1,85.1,38.5,53.5,0,1,2,0,0,1,2,1,1,2,0,0,0,0,0.05,0.02,0.0,0.0,4,185.0,66.7,63.8,100,29.6,70.4,Active: unknown injury; unknown injury,0.0,True,https://github.com/salimt/football-datasets,28,11,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Aurèle Amenda,Switzerland,1899,0,0,6,3,38,17,6,17,14,13,82.5,7,80.1,45.6,38.7,0,3,7,1,0,3,25,9,34,37,24,0,4,13,0.15,0.08,6.0,0.0,29,194.0,59.8,50.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Luca Jaquez,Switzerland,1623,1,1,8,6,34,16,6,14,11,10,83.7,5,83.1,61.6,34.9,1,4,10,1,1,8,22,9,28,32,21,0,3,10,0.98,0.85,2.0,0.0,26,187.0,68.5,49.9,100,55.0,45.0,Active: Ill; unknown injury,0.0,True,https://github.com/salimt/football-datasets,3,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Cedric Itten,Switzerland,110,1,0,5,1,3,2,1,0,0,0,76.9,1,78.3,50.4,41.3,1,4,16,0,0,1,2,1,1,2,0,0,0,0,0.98,0.02,1.0,0.0,2,190.0,54.6,54.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,14,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Alisson,Brazil,3116,0,0,4,2,108,27,9,34,29,19,80.6,8,88.2,56.9,89.2,0,2,5,0,0,2,70,15,65,44,41,83,6,19,0.1,0.05,1.0,0.0,35,193.0,75.5,87.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,77,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Wesley,Brazil,0,0,0,1,1,3,2,1,0,0,0,78.0,1,61.0,31.2,32.5,0,1,2,0,1,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,175.0,66.7,42.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,7,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Gabriel Magalhães,Brazil,0,0,0,0,0,1,1,0,1,1,1,78.9,0,46.3,22.8,42.0,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0.0,0.0,,,0,186.0,24.5,47.0,100,100.0,0.0,Available,,False,,17,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Marquinhos,Brazil,2714,2,0,15,4,108,32,11,35,30,15,85.9,7,85.5,73.0,90.4,2,8,19,1,0,4,70,18,67,53,37,0,5,16,1.96,0.1,2.0,0.0,33,183.0,86.5,86.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,104,7,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Casemiro,Brazil,2600,9,2,45,13,92,31,11,32,27,14,83.0,11,84.4,78.8,87.5,9,25,60,3,1,17,60,17,61,57,33,0,0,17,8.27,1.72,9.0,0.0,35,185.0,64.8,84.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,85,9,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Alex Sandro,Brazil,0,0,0,0,0,2,1,0,1,1,0,76.9,0,52.0,26.1,56.8,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0.0,0.0,,,0,181.0,41.0,62.4,100,52.4,47.6,Active: Hamstring muscle injury; muscular problems,0.0,True,https://github.com/salimt/football-datasets,44,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Vinícius Júnior,Brazil,4470,22,14,127,69,203,98,36,27,24,9,83.1,21,96.1,99.5,87.1,22,87,204,17,42,97,132,54,50,87,22,0,0,19,21.51,11.52,11.0,0.0,56,176.0,99.9,79.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,48,9,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Bruno Guimarães,Brazil,3322,9,8,55,37,137,57,21,29,25,13,87.1,11,95.9,93.0,79.7,9,33,78,9,6,53,89,31,56,65,16,0,0,17,8.67,6.52,9.0,0.0,41,182.0,97.7,86.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,42,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Matheus Cunha,Brazil,2683,10,4,65,28,105,57,21,13,11,8,82.3,13,94.2,86.7,65.9,10,45,106,6,22,36,68,31,24,52,12,0,0,13,10.05,3.5,4.0,0.0,35,183.0,92.8,66.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,22,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Neymar,Brazil,0,0,0,1,0,4,2,1,1,1,0,83.3,0,70.6,36.7,71.6,0,1,2,0,0,0,3,1,1,2,0,0,0,0,0.05,0.0,,,0,175.0,94.0,81.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,128,79,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Raphinha,Brazil,2194,21,8,97,38,93,47,17,13,11,4,82.4,11,94.0,87.3,69.9,21,67,161,10,21,54,60,26,23,43,10,0,0,12,19.73,6.55,5.0,0.0,33,176.0,94.0,68.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,38,11,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Weverton,Brazil,90,0,0,0,0,1,0,0,1,1,0,76.0,0,49.3,32.1,43.2,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0.0,0.0,0.0,0.0,1,189.0,33.2,53.4,100,100.0,0.0,Available,,False,,10,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Danilo Luiz,Brazil,0,0,0,1,1,3,1,1,1,1,0,72.9,1,56.0,22.8,63.2,0,1,2,0,0,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,184.0,24.5,60.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,69,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Bremer,Brazil,2569,4,3,21,13,71,31,11,23,19,16,86.3,6,89.0,79.9,52.4,4,11,26,3,2,19,46,17,47,50,36,0,5,17,3.67,2.42,5.0,0.0,31,188.0,89.0,65.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,7,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Léo Pereira,Brazil,0,0,0,1,1,2,1,1,0,0,0,74.2,1,50.0,24.9,23.0,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,172.0,35.0,30.9,100,100.0,0.0,Available,,False,,3,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Douglas Santos,Brazil,2076,2,2,18,12,47,25,9,16,13,8,79.0,9,60.4,67.4,45.1,2,10,24,3,16,16,31,14,32,42,7,0,4,9,2.06,1.7,1.0,0.0,25,176.0,64.8,60.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Fabinho,Brazil,0,0,0,0,0,3,1,0,1,1,1,86.8,0,75.0,35.9,49.4,0,0,0,0,0,0,2,1,2,2,1,0,0,1,0.0,0.0,,,0,188.0,90.0,68.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,32,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Danilo Santos,Brazil,0,0,0,1,1,1,1,0,0,0,0,72.5,1,58.0,22.0,23.0,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,178.0,20.9,28.1,100,100.0,0.0,Available,,False,,3,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Endrick,Brazil,1480,6,7,38,31,55,32,12,6,5,2,81.7,8,86.4,77.6,53.2,6,27,65,8,5,45,36,18,11,29,7,0,0,5,6.03,5.68,3.0,0.0,21,173.0,89.0,68.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,16,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lucas Paquetá,Brazil,1612,5,1,34,11,70,31,12,11,10,4,81.8,8,68.8,73.1,74.9,5,23,55,2,1,13,46,17,21,30,7,0,0,7,5.05,0.98,5.0,0.0,19,180.0,89.0,82.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,62,13,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Luiz Henrique,Brazil,2446,6,4,49,27,83,49,18,10,9,7,80.8,13,66.3,80.2,56.9,6,34,80,6,20,35,54,27,19,48,10,0,0,11,6.38,3.47,3.0,0.0,34,182.0,81.6,58.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,14,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Gabriel Martinelli,Brazil,2347,11,7,65,35,91,50,18,11,10,5,82.2,12,94.2,85.8,63.6,11,45,107,9,22,49,59,28,21,46,11,0,0,10,10.83,5.78,5.0,0.0,52,178.0,92.8,64.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,22,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ederson,Brazil,3169,3,2,33,18,120,53,19,26,22,13,86.3,12,89.7,81.6,73.5,3,20,47,4,1,22,78,29,50,62,14,0,0,15,3.34,1.85,4.0,0.0,41,183.0,91.1,81.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,32,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Roger Ibañez,Brazil,0,0,0,0,0,2,1,0,1,1,1,86.2,0,73.3,34.9,28.3,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0.0,0.0,,,0,185.0,85.0,51.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Igor Thiago,Brazil,3437,25,1,127,24,106,71,27,9,7,13,81.0,19,90.8,93.0,48.5,25,89,210,5,1,26,69,39,17,67,14,0,0,24,23.95,1.3,8.0,0.0,40,191.0,83.0,64.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,3,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Rayan,Brazil,1120,5,2,30,13,32,22,8,3,3,4,80.2,6,88.6,69.4,30.4,5,21,52,3,9,17,21,12,6,22,4,0,0,7,4.95,1.72,1.0,0.0,15,185.0,76.6,43.3,100,100.0,0.0,Available,,False,,2,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Johny Placide,Haiti,0,0,0,0,0,2,0,0,1,1,0,74.6,0,62.8,22.2,71.6,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0.0,0.0,,,0,181.0,21.6,64.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,79,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Carlens Arcus,Haiti,2045,0,3,11,15,49,17,7,22,19,8,74.4,12,65.4,57.8,81.8,0,6,14,4,17,21,32,9,42,41,3,0,4,9,0.3,2.47,7.0,0.0,26,176.0,28.9,73.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,51,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Keeto Thermoncy,Haiti,0,0,0,0,0,0,0,0,1,1,0,75.1,1,41.0,19.8,24.0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,30.1,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ricardo Adé,Haiti,0,0,0,0,0,2,0,0,1,1,0,75.1,1,41.0,19.8,67.4,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,54.0,100,100.0,0.0,Available,,False,,57,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Hannes Delcroix,Haiti,0,0,0,0,0,2,1,0,1,1,0,82.3,0,56.0,28.3,32.5,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0.0,0.0,,,0,184.0,52.4,43.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,5,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Carl Sainté,Haiti,0,0,0,1,0,1,1,0,1,1,0,75.1,1,41.0,19.8,52.6,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,,9.5,49.8,100,100.0,0.0,Available,,False,,25,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Derrick Etienne Jr.,Haiti,0,0,0,1,1,3,1,1,1,0,0,74.0,1,55.8,24.5,61.0,0,1,2,0,1,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,178.0,33.2,57.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,46,8,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Martin Expérience,Haiti,0,0,0,0,0,1,0,0,1,1,0,75.1,1,41.0,19.8,50.5,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,44.7,100,100.0,0.0,Available,,False,,19,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Duckens Nazon,Haiti,0,0,0,1,1,3,1,1,1,1,0,74.6,1,60.9,25.5,69.5,0,1,2,0,0,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,181.0,38.3,64.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,76,44,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jean-Ricner Bellegarde,Haiti,1513,1,1,14,9,41,23,8,10,8,4,84.0,7,87.6,62.0,53.3,1,8,19,2,1,11,27,13,19,29,6,0,0,5,1.18,0.92,5.0,0.0,31,172.0,73.9,63.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,8,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Louicius Deedson,Haiti,0,0,0,1,1,2,1,1,0,0,0,74.2,1,56.4,24.9,56.8,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,178.0,35.0,55.2,100,100.0,0.0,Available,,False,,30,10,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Alexandre Pierre,Haiti,0,0,0,0,0,1,0,0,1,1,1,74.4,0,62.1,21.8,45.2,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0.0,0.0,,,0,190.0,19.6,49.8,100,100.0,0.0,Available,,False,,14,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Duke Lacroix,Haiti,0,0,0,0,0,1,0,0,1,1,0,75.1,1,41.0,19.8,45.2,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,41.8,100,100.0,0.0,Available,,False,,14,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Leverton Pierre,Haiti,0,0,0,1,0,2,1,0,1,1,0,75.1,1,41.0,19.8,58.9,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,,9.5,53.3,100,100.0,0.0,Available,,False,,33,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ruben Providence,Haiti,0,0,0,1,1,2,1,0,0,0,0,72.7,1,45.6,22.4,42.0,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,178.0,22.7,44.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,13,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lenny Joseph,Haiti,0,0,0,1,1,1,1,1,0,0,0,73.1,1,64.4,23.1,19.8,0,1,2,0,0,1,1,1,0,2,0,0,0,0,0.05,0.02,,,0,183.0,26.0,35.1,100,100.0,0.0,Available,,False,,0,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Danley Jean Jacques,Haiti,0,0,0,0,0,2,1,0,1,1,0,80.9,0,58.6,26.1,54.7,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0.0,0.0,,,0,182.0,41.0,61.3,100,100.0,0.0,Available,,False,,28,6,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Wilson Isidor,Haiti,1338,6,0,37,8,38,27,10,3,3,4,80.1,8,88.6,69.7,39.9,6,26,63,1,0,8,25,15,6,26,5,0,0,7,5.98,0.2,3.0,0.0,36,186.0,76.6,56.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,2,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Yassin Fortuné,Haiti,0,0,0,1,1,1,1,1,0,0,0,72.9,1,46.3,22.8,29.3,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,186.0,24.5,38.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,3,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Frantzdy Pierrot,Haiti,1232,4,1,29,11,40,21,8,7,6,5,76.3,9,63.9,61.2,75.3,4,20,48,2,1,13,26,12,13,24,3,0,0,7,4.12,0.98,3.0,0.0,28,194.0,47.0,69.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,49,33,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Josué Casimir,Haiti,1521,1,0,21,9,35,26,10,5,4,3,76.7,11,72.6,55.2,46.0,1,14,33,2,11,9,23,14,10,30,4,0,0,5,1.48,0.22,4.0,0.0,31,178.0,49.7,52.2,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,5,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jean-Kévin Duverne,Haiti,735,0,1,2,4,15,6,2,7,6,4,81.2,3,62.9,50.5,58.9,0,1,2,1,1,6,10,3,14,14,9,0,1,4,0.05,0.8,4.0,0.0,14,186.0,49.7,57.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,15,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Josué Duverger,Haiti,0,0,0,0,0,1,0,0,1,1,0,73.1,0,41.0,19.8,36.7,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0.0,0.0,,,0,,9.5,43.1,100,100.0,0.0,Available,,False,,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Wilguens Paugain,Haiti,1011,1,0,9,3,12,8,3,8,6,4,73.4,6,52.8,47.3,48.0,1,5,12,1,7,3,8,4,16,20,1,0,2,5,1.03,0.08,1.0,0.0,19,180.0,20.9,53.6,100,100.0,0.0,Available,,False,,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Dominique Simon,Haiti,0,0,0,0,0,1,1,0,1,1,0,75.1,1,41.0,19.8,19.8,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0.0,0.0,,,0,179.0,9.5,35.8,100,100.0,0.0,Available,,False,,0,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Woodensky Pierre,Haiti,0,0,0,1,0,1,1,0,0,0,0,75.1,1,41.0,19.8,24.0,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,,9.5,34.1,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Yassine Bounou,Morocco,900,0,0,1,1,30,7,2,10,9,6,79.4,3,66.9,42.1,80.4,0,0,0,0,0,1,20,4,19,13,12,24,2,6,0.0,0.02,0.0,0.0,9,195.0,66.7,80.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,89,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Achraf Hakimi,Morocco,3198,3,12,28,46,141,49,18,37,32,15,83.2,9,89.6,91.1,95.8,3,16,37,12,31,70,92,27,71,65,16,0,6,17,3.14,9.55,5.0,0.0,39,181.0,98.0,85.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,95,11,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Noussair Mazraoui,Morocco,1612,0,1,9,8,58,22,8,17,14,8,81.0,6,89.9,60.0,70.7,0,5,12,2,12,10,38,12,32,33,6,0,3,9,0.25,0.9,3.0,0.0,27,183.0,80.5,68.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,43,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
